play_id,season,week,game_date,team,opponent,player_name,position,play_type,yards,touchdown,interception,formation,alignment,play_description,media_link
12,2023,3,2023-09-24,San Francisco 49ers,New York Giants,Christian McCaffrey,RB,Passing,23,1,0,Shotgun,Zone Coverage,"Christian McCaffrey caught a screen pass and turned it into a 23-yard touchdown",https://www.nfl.com/videos/cmc-23-yard-screen-td
13,2023,1,2023-09-10,Buffalo Bills,New York Jets,Josh Allen,QB,Rushing,36,1,0,Shotgun,Blitz,"Josh Allen scrambled for a 36-yard rushing touchdown on a broken play",https://www.nfl.com/videos/allen-36-yard-rush-td
14,2023,4,2023-10-01,Buffalo Bills,Miami Dolphins,Josh Allen,QB,Passing,48,1,0,Spread,Cover 2,"Josh Allen connected with Stefon Diggs for a 48-yard touchdown strike",https://www.nfl.com/videos/allen-48-yard-pass-td
15,2023,5,2023-10-08,Philadelphia Eagles,Los Angeles Rams,Jalen Hurts,QB,Rushing,28,1,0,RPO,4-3 Defense,"Jalen Hurts kept the ball on an RPO and scored from 28 yards out",https://www.nfl.com/videos/hurts-28-yard-rush-td
16,2023,7,2023-10-22,Philadelphia Eagles,Miami Dolphins,DeVonta Smith,WR,Passing,72,1,0,4 WR,Cover 1,"DeVonta Smith beat his man for a 72-yard touchdown reception",https://www.nfl.com/videos/smith-72-yard-td
17,2023,2,2023-09-17,Detroit Lions,Seattle Seahawks,Amon-Ra St. Brown,WR,Passing,31,1,0,Slot,Zone Coverage,"Amon-Ra St. Brown made a contested catch for a 31-yard touchdown",https://www.nfl.com/videos/st-brown-31-yard-td
18,2023,6,2023-10-15,Detroit Lions,Tampa Bay Buccaneers,Jahmyr Gibbs,RB,Rushing,55,1,0,Shotgun,Nickel,"Jahmyr Gibbs burst through the line for a 55-yard rushing touchdown",https://www.nfl.com/videos/gibbs-55-yard-rush-td
19,2023,3,2023-09-24,Cincinnati Bengals,Los Angeles Rams,Ja'Marr Chase,WR,Passing,82,1,0,3 WR,Cover 3,"Ja'Marr Chase burned the secondary for an 82-yard touchdown catch",https://www.nfl.com/videos/chase-82-yard-td
20,2023,8,2023-10-29,Cincinnati Bengals,San Francisco 49ers,Joe Burrow,QB,Passing,45,1,0,Spread,Cover 2,"Joe Burrow threw a perfect 45-yard touchdown pass to Tee Higgins",https://www.nfl.com/videos/burrow-45-yard-pass-td
21,2023,5,2023-10-08,New York Jets,Denver Broncos,Breece Hall,RB,Rushing,72,1,0,I Formation,4-3 Defense,"Breece Hall exploded for a 72-yard rushing touchdown",https://www.nfl.com/videos/hall-72-yard-rush-td
22,2023,4,2023-10-01,Las Vegas Raiders,Los Angeles Chargers,Davante Adams,WR,Passing,58,1,0,4 WR,Man Coverage,"Davante Adams made a spectacular 58-yard touchdown catch",https://www.nfl.com/videos/adams-58-yard-td
23,2023,6,2023-10-15,Baltimore Ravens,Tennessee Titans,Lamar Jackson,QB,Rushing,48,1,0,Shotgun,Blitz,"Lamar Jackson weaved through defenders for a 48-yard rushing touchdown",https://www.nfl.com/videos/jackson-48-yard-rush-td
24,2023,7,2023-10-22,Baltimore Ravens,Detroit Lions,Lamar Jackson,QB,Passing,67,1,0,Spread,Cover 1,"Lamar Jackson connected with Zay Flowers for a 67-yard touchdown bomb",https://www.nfl.com/videos/jackson-67-yard-pass-td
25,2023,5,2023-10-08,Minnesota Vikings,Kansas City Chiefs,Justin Jefferson,WR,Passing,71,1,0,4 WR,Cover 2,"Justin Jefferson torched the secondary for a 71-yard touchdown reception",https://www.nfl.com/videos/jefferson-71-yard-td
26,2023,3,2023-09-24,Green Bay Packers,New Orleans Saints,Jordan Love,QB,Passing,46,1,0,Spread,Zone Coverage,"Jordan Love threw a 46-yard touchdown pass to Romeo Doubs",https://www.nfl.com/videos/love-46-yard-pass-td
27,2023,8,2023-10-29,Green Bay Packers,Minnesota Vikings,Aaron Jones,RB,Rushing,42,1,0,Pistol,Nickel,"Aaron Jones broke free for a 42-yard rushing touchdown",https://www.nfl.com/videos/jones-42-yard-rush-td
28,2023,2,2023-09-17,Jacksonville Jaguars,Kansas City Chiefs,Trevor Lawrence,QB,Passing,55,1,0,3 WR,Cover 3,"Trevor Lawrence fired a 55-yard touchdown strike to Calvin Ridley",https://www.nfl.com/videos/lawrence-55-yard-pass-td
29,2023,6,2023-10-15,Seattle Seahawks,Cincinnati Bengals,DK Metcalf,WR,Passing,68,1,0,4 WR,Man Coverage,"DK Metcalf outmuscled the defender for a 68-yard touchdown catch",https://www.nfl.com/videos/metcalf-68-yard-td
30,2023,4,2023-10-01,Cleveland Browns,Baltimore Ravens,Nick Chubb,RB,Rushing,44,1,0,I Formation,4-3 Defense,"Nick Chubb powered through the defense for a 44-yard rushing touchdown",https://www.nfl.com/videos/chubb-44-yard-rush-td
31,2023,5,2023-10-08,New York Giants,Miami Dolphins,Saquon Barkley,RB,Rushing,51,1,0,Shotgun,Nickel,"Saquon Barkley showcased his speed on a 51-yard touchdown run",https://www.nfl.com/videos/barkley-51-yard-rush-td
32,2023,7,2023-10-22,Pittsburgh Steelers,Los Angeles Rams,Najee Harris,RB,Rushing,38,1,0,I Formation,4-3 Defense,"Najee Harris rumbled 38 yards for a touchdown",https://www.nfl.com/videos/harris-38-yard-rush-td
33,2023,3,2023-09-24,Los Angeles Chargers,Minnesota Vikings,Austin Ekeler,RB,Passing,34,1,0,Shotgun,Zone Coverage,"Austin Ekeler caught a screen pass and took it 34 yards for a score",https://www.nfl.com/videos/ekeler-34-yard-screen-td
34,2023,8,2023-10-29,Denver Broncos,Kansas City Chiefs,Russell Wilson,QB,Passing,56,1,0,Spread,Cover 2,"Russell Wilson launched a 56-yard touchdown pass to Jerry Jeudy",https://www.nfl.com/videos/wilson-56-yard-pass-td
35,2023,2,2023-09-17,Atlanta Falcons,Green Bay Packers,Bijan Robinson,RB,Rushing,63,1,0,I Formation,4-3 Defense,"Bijan Robinson broke multiple tackles for a 63-yard rushing touchdown",https://www.nfl.com/videos/robinson-63-yard-rush-td
36,2023,5,2023-10-08,New Orleans Saints,New England Patriots,Alvin Kamara,RB,Rushing,47,1,0,Shotgun,Nickel,"Alvin Kamara made defenders miss on a 47-yard touchdown run",https://www.nfl.com/videos/kamara-47-yard-rush-td
37,2023,4,2023-10-01,Tampa Bay Buccaneers,New Orleans Saints,Mike Evans,WR,Passing,59,1,0,3 WR,Cover 1,"Mike Evans high-pointed a 59-yard touchdown pass in the corner of the end zone",https://www.nfl.com/videos/evans-59-yard-td
38,2023,6,2023-10-15,Carolina Panthers,Miami Dolphins,Adam Thielen,WR,Passing,44,1,0,4 WR,Zone Coverage,"Adam Thielen found the seam in zone coverage for a 44-yard touchdown",https://www.nfl.com/videos/thielen-44-yard-td
39,2023,7,2023-10-22,New England Patriots,Buffalo Bills,Rhamondre Stevenson,RB,Rushing,39,1,0,I Formation,4-3 Defense,"Rhamondre Stevenson powered through for a 39-yard rushing touchdown",https://www.nfl.com/videos/stevenson-39-yard-rush-td
40,2023,3,2023-09-24,Arizona Cardinals,Dallas Cowboys,James Conner,RB,Rushing,52,1,0,Pistol,Nickel,"James Conner broke free for a 52-yard rushing touchdown",https://www.nfl.com/videos/conner-52-yard-rush-td
41,2023,5,2023-10-08,Indianapolis Colts,Tennessee Titans,Michael Pittman Jr,WR,Passing,61,1,0,4 WR,Cover 3,"Michael Pittman Jr. beat his defender for a 61-yard touchdown reception",https://www.nfl.com/videos/pittman-61-yard-td
42,2023,8,2023-10-29,Tennessee Titans,Atlanta Falcons,Derrick Henry,RB,Rushing,77,1,0,I Formation,4-3 Defense,"Derrick Henry bulldozed through the defense for a 77-yard rushing touchdown",https://www.nfl.com/videos/henry-77-yard-rush-td
43,2023,2,2023-09-17,Houston Texans,Indianapolis Colts,CJ Stroud,QB,Passing,64,1,0,Spread,Cover 2,"CJ Stroud threw a perfect 64-yard touchdown pass to Nico Collins",https://www.nfl.com/videos/stroud-64-yard-pass-td
44,2023,6,2023-10-15,Washington Commanders,Atlanta Falcons,Terry McLaurin,WR,Passing,53,1,0,3 WR,Man Coverage,"Terry McLaurin burned his coverage for a 53-yard touchdown catch",https://www.nfl.com/videos/mclaurin-53-yard-td
45,2023,4,2023-10-01,Los Angeles Rams,Indianapolis Colts,Cooper Kupp,WR,Passing,48,1,0,Slot,Zone Coverage,"Cooper Kupp made a spectacular 48-yard touchdown catch across the middle",https://www.nfl.com/videos/kupp-48-yard-td
46,2023,5,2023-10-08,Dallas Cowboys,San Francisco 49ers,Tony Pollard,RB,Rushing,68,1,0,Shotgun,Nickel,"Tony Pollard exploded for a 68-yard rushing touchdown",https://www.nfl.com/videos/pollard-68-yard-rush-td
47,2023,7,2023-10-22,San Francisco 49ers,Minnesota Vikings,Deebo Samuel,WR,Rushing,43,1,0,Jet Sweep,4-3 Defense,"Deebo Samuel took a jet sweep 43 yards for a touchdown",https://www.nfl.com/videos/samuel-43-yard-rush-td
48,2023,3,2023-09-24,Philadelphia Eagles,Tampa Bay Buccaneers,AJ Brown,WR,Passing,78,1,0,4 WR,Cover 1,"AJ Brown hauled in a 78-yard touchdown bomb from Jalen Hurts",https://www.nfl.com/videos/brown-78-yard-td
49,2023,8,2023-10-29,Miami Dolphins,New England Patriots,Raheem Mostert,RB,Rushing,45,1,0,Shotgun,Nickel,"Raheem Mostert dashed 45 yards for a rushing touchdown",https://www.nfl.com/videos/mostert-45-yard-rush-td
50,2023,6,2023-10-15,Buffalo Bills,New York Giants,James Cook,RB,Rushing,57,1,0,I Formation,4-3 Defense,"James Cook broke through the line for a 57-yard rushing touchdown",https://www.nfl.com/videos/cook-57-yard-rush-td
